ID,dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,fuel_swelling,fuel_gas_swelling
75,5.37E-05,0.6658295311,0.05753836278,4.59E-09,12541.455,2.20E-07,4.25E-10,3.02E-18,3.02E-07,44.55147766,23.20115316
76,4.86E-05,0.5791852777,0.07860934081,1.07E-09,10246.18776,2.96E-07,2.57E-09,2.60E-18,8.70E-07,42.29739888,20.94707439
77,5.69E-05,0.7059761666,0.04276742426,1.35E-09,42693.99,1.24E-07,2.38E-09,3.60E-18,7.00E-07,52.12164443,30.77131994
78,2.15E-05,0.5161667555,0.01024176654,1.39E-09,25107.42995,3.34E-07,6.96E-10,1.62E-18,8.52E-07,45.68217375,24.33184926
79,1.75E-05,0.5049377067,0.01154933513,4.92E-09,29339.46189,1.04E-08,2.71E-09,3.33E-18,9.92E-07,24.09360672,2.743282227
80,7.10E-05,0.6050186417,0.07981541059,2.34E-09,8946.69737,3.84E-07,3.07E-10,3.81E-18,5.68E-07,47.83632072,26.48599622
81,9.85E-05,0.7971978311,0.03853890339,7.53E-10,8737.409702,2.23E-07,2.55E-09,2.45E-18,9.17E-07,80.98511764,59.63479314
82,9.46E-05,0.5191873856,0.04017024899,1.44E-09,38061.08216,2.08E-07,2.47E-09,3.36E-18,8.30E-07,80.03882179,58.68849729
83,3.68E-05,0.7175298734,0.03895901168,2.33E-09,49952.2093,2.81E-07,2.34E-09,2.99E-18,7.63E-07,35.76970482,14.41938033
84,1.58E-05,0.5479289447,0.05842056894,1.24E-09,40215.41431,3.55E-07,2.12E-09,2.56E-18,7.03E-07,26.8762781,5.525953608
85,3.43E-05,0.8851101115,0.06849397371,2.26E-09,14639.27372,3.98E-07,1.95E-09,2.97E-18,4.82E-07,25.23893353,3.888609033
86,2.23E-05,0.8005219907,0.06843969637,1.59E-09,10873.19128,3.20E-07,3.82E-10,1.51E-18,5.39E-07,27.50481383,6.154489331
87,7.73E-05,0.8331356121,0.05342692776,2.96E-09,47039.90028,9.79E-08,1.54E-09,3.78E-18,6.29E-07,50.61432844,29.26400395
88,6.67E-05,0.5473803186,0.01900220636,1.27E-09,18227.04535,9.21E-08,5.79E-10,3.52E-18,6.90E-07,81.24570073,59.89537623
89,4.63E-05,0.8194574987,0.03521663544,6.18E-10,44749.89765,1.33E-07,1.06E-09,3.90E-18,2.73E-07,53.04652721,31.69620271
90,2.98E-05,0.8992528276,0.0756932378,1.01E-09,27013.70843,1.89E-07,4.54E-10,2.35E-18,5.45E-07,31.30008221,9.949757713
91,4.18E-05,0.8296637447,0.04548459248,3.30E-09,27523.94436,1.63E-08,1.44E-09,1.92E-18,8.73E-07,35.93122284,14.58089834
92,6.98E-05,0.8447242377,0.01700281872,4.68E-09,16913.21924,1.66E-07,2.75E-09,3.58E-18,7.33E-07,60.72556526,39.37524077
93,2.17E-05,0.5909393987,0.02585201803,1.58E-09,44188.31585,7.84E-08,8.39E-10,2.96E-18,7.14E-07,35.18759685,13.83727236
94,5.17E-05,0.8509618155,0.07389986692,2.98E-09,34939.41271,2.47E-07,8.50E-10,2.85E-18,9.25E-07,34.83507741,13.48475292
95,7.46E-05,0.8472597093,0.07137906438,4.70E-09,16772.58099,1.06E-07,2.63E-09,1.54E-18,8.49E-07,41.97889349,20.628569
96,4.18E-05,0.7988983231,0.02989420416,1.75E-09,36158.53149,2.60E-07,1.89E-09,1.64E-18,3.39E-07,42.22332975,20.87300526
97,1.89E-05,0.6663056644,0.05650249171,4.33E-09,49474.29207,2.46E-07,2.84E-09,1.38E-18,6.13E-07,22.56601185,1.215687356
98,3.05E-05,0.5471228531,0.02532863398,1.63E-09,34688.64304,1.99E-07,1.04E-09,1.75E-18,3.09E-07,54.16408279,32.81375829
99,9.09E-05,0.7508218518,0.03993745766,3.80E-09,31878.35855,3.45E-07,1.30E-09,1.30E-18,4.25E-07,65.99289281,44.64256832
100,8.89E-05,0.695825105,0.06868538655,2.76E-09,14722.42294,2.69E-07,7.37E-10,1.38E-18,9.34E-07,57.32174814,35.97142364
101,1.81E-05,0.7682590732,0.06792846339,2.77E-09,40467.90888,2.73E-07,1.36E-09,1.99E-18,3.79E-07,23.35470719,2.004382692
102,9.61E-05,0.7131982522,0.03366689206,1.44E-09,33393.88197,2.91E-07,4.33E-10,2.30E-18,7.93E-07,83.35776066,62.00743617
103,9.46E-05,0.770466681,0.06223048079,1.37E-09,35911.92463,3.45E-07,2.64E-09,1.40E-18,5.65E-07,66.88435792,45.53403343
104,7.03E-05,0.5342028348,0.06805041087,4.95E-09,39708.00559,3.96E-07,2.58E-09,3.94E-18,7.71E-07,46.22040801,24.87008352
105,3.28E-05,0.5837309691,0.03711883923,1.86E-09,28768.7614,3.92E-08,1.19E-09,3.35E-18,5.42E-07,39.86731906,18.51699456
106,2.43E-05,0.8957682181,0.07661867507,3.91E-09,39477.52368,2.08E-08,2.34E-09,2.38E-18,6.89E-07,22.17641597,0.8260914762
107,2.74E-05,0.5044409581,0.07125595326,1.99E-09,27697.3725,3.86E-07,1.88E-09,1.29E-18,4.47E-07,43.9492967,22.5989722
