%eval_id interface dGrainHBS FaceCovMax SwellLink vResol DatomFissGBx fNucleate aAtomDifFiss FD1 fuel_swelling1 FD2 fuel_swelling2 FD3 fuel_swelling3
0 69 4.051E-05 0.805 2.267E-02 2.287E-18 3.089E+04 5.539E-10 5.248E-31 .2004480008009508E+22 8.290826042114730 .4008960016019010E+22 19.47847255089642 .6013440024028510E+22 40.57247885744719
0 70 4.221E-05 0.783 2.338E-02 1.908E-18 2.810E+04 5.967E-10 5.457E-31 .2004480008009508E+22 8.357223326612823 .4008960016019010E+22 20.04381107948749 .6013440024028510E+22 42.33388155083255
0 71 3.540E-05 0.712 2.631E-02 2.141E-18 3.696E+04 4.739E-10 4.863E-31 .2004480008009508E+22 8.335820244375522 .4008960016019010E+22 19.11448183516771 .6013440024028510E+22 38.82824480404186
0 72 4.053E-05 0.740 1.897E-02 2.012E-18 3.134E+04 5.079E-10 4.380E-31 .2004480008009508E+22 8.309703886859831 .4008960016019010E+22 20.15964851951376 .6013440024028510E+22 42.87266902302001
0 73 4.715E-05 0.755 2.629E-02 2.108E-18 3.195E+04 5.395E-10 4.692E-31 .2004480008009508E+22 8.303760711746804 .4008960016019010E+22 20.92409855918226 .6013440024028510E+22 45.73118949106428
0 74 4.176E-05 0.754 2.199E-02 2.003E-18 2.996E+04 4.941E-10 4.885E-31 .2004480008009508E+22 8.336984949950068 .4008960016019010E+22 20.20471881065269 .6013440024028510E+22 42.96375817330409
0 75 3.481E-05 0.666 2.675E-02 1.758E-18 3.485E+04 6.752E-10 4.939E-31 .2004480008009508E+22 8.374802385866339 .4008960016019010E+22 19.44461230008046 .6013440024028510E+22 39.70978068334365
0 76 4.133E-05 0.740 2.634E-02 2.374E-18 2.871E+04 5.271E-10 4.463E-31 .2004480008009508E+22 8.235485623082168 .4008960016019010E+22 19.94400317537719 .6013440024028510E+22 42.32171651021815
0 77 3.577E-05 0.708 2.563E-02 1.907E-18 2.751E+04 6.166E-10 5.700E-31 .2004480008009508E+22 8.362677565819782 .4008960016019010E+22 19.28611841521825 .6013440024028510E+22 39.35211961055870
0 78 3.779E-05 0.765 2.618E-02 2.248E-18 2.537E+04 7.331E-10 5.146E-31 .2004480008009508E+22 8.237749872488573 .4008960016019010E+22 19.08891973633735 .6013440024028510E+22 39.20983760556055
0 79 3.984E-05 0.710 2.121E-02 2.337E-18 2.977E+04 5.728E-10 5.239E-31 .2004480008009508E+22 8.273878085446320 .4008960016019010E+22 20.13345968295147 .6013440024028510E+22 42.87933149866294
0 80 4.199E-05 0.781 3.081E-02 1.912E-18 2.798E+04 5.929E-10 4.930E-31 .2004480008009508E+22 8.330326411661636 .4008960016019010E+22 19.71247735532903 .6013440024028510E+22 41.14278167102427
0 81 4.676E-05 0.742 2.666E-02 1.905E-18 3.211E+04 5.949E-10 5.386E-31 .2004480008009508E+22 8.370225494052340 .4008960016019010E+22 21.02562264805780 .6013440024028510E+22 45.82701454395124
0 82 3.826E-05 0.755 2.382E-02 1.994E-18 3.081E+04 5.377E-10 5.133E-31 .2004480008009508E+22 8.345377271716854 .4008960016019010E+22 19.46059825941733 .6013440024028510E+22 40.17214113236508
0 83 3.854E-05 0.849 2.769E-02 2.065E-18 3.268E+04 6.242E-10 4.408E-31 .2004480008009508E+22 8.283460609492517 .4008960016019010E+22 18.62003970632712 .6013440024028510E+22 37.42658389153468
0 84 3.907E-05 0.778 2.685E-02 1.940E-18 3.056E+04 5.763E-10 5.334E-31 .2004480008009508E+22 8.357838953494410 .4008960016019010E+22 19.35855071861819 .6013440024028510E+22 39.77056182036007
0 85 3.572E-05 0.715 2.243E-02 1.812E-18 3.048E+04 5.152E-10 5.470E-31 .2004480008009508E+22 8.406006908221370 .4008960016019010E+22 19.36097745286149 .6013440024028510E+22 39.51583098191477
0 86 4.290E-05 0.900 2.283E-02 2.443E-18 2.985E+04 5.700E-10 5.254E-31 .2004480008009508E+22 8.257704047981738 .4008960016019010E+22 19.17426223444555 .6013440024028510E+22 39.74027728426145
0 87 3.941E-05 0.822 2.326E-02 1.742E-18 2.897E+04 6.039E-10 5.042E-31 .2004480008009508E+22 8.375817220708255 .4008960016019010E+22 19.24251849810721 .6013440024028510E+22 39.35440135537028
0 88 3.754E-05 0.789 2.485E-02 1.934E-18 2.679E+04 6.283E-10 4.922E-31 .2004480008009508E+22 8.313565877864843 .4008960016019010E+22 18.98245924356625 .6013440024028510E+22 38.58234221429485
