dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,fuel_swelling
6e-05,0.50953,0.020848,5.55e-18,7324.3,3.6e-08,1.02e-30,78.149
3.62e-05,0.55888,0.050787,1.32e-17,1.4904e+05,1.01e-09,1.53e-31,42.467
4.82e-05,0.86274,0.020737,3.78e-18,71829,6.18e-11,1.45e-30,46.981
2e-05,0.56146,0.053335,2.01e-18,1.1623e+05,2.88e-10,1.42e-31,29.535
2.05e-05,0.78844,0.05894,1.97e-17,68773,3.1e-08,4.18e-30,29.349
5.3e-05,0.59497,0.015339,4.22e-19,3255,3.03e-10,1.59e-31,66.009
2.68e-05,0.81589,0.046856,5.06e-18,6360,4.41e-10,8.87e-32,30.114
5.1e-05,0.71059,0.054428,9.4e-19,56709,8.75e-09,2.68e-31,47.052
3.51e-05,0.71799,0.032312,3.42e-18,1.6765e+05,2.12e-09,6.97e-31,41.531
2.36e-05,0.69895,0.038568,2.08e-18,21318,1.84e-10,1.13e-31,29.914
2.82e-05,0.59764,0.033272,6.96e-18,4295.1,1.78e-08,8.95e-31,41.286
4.33e-05,0.705,0.062022,8.94e-18,12505,1.79e-10,3.87e-31,41.55
3.3e-05,0.55441,0.046738,1.36e-17,3739.1,3.47e-10,5.76e-32,40.516
2.89e-05,0.50701,0.042738,5.62e-19,4382.3,1.36e-08,9.9e-32,41.835
3.41e-05,0.77071,0.054517,4.58e-18,7004.5,1.34e-10,6.5e-32,34.551
2.34e-05,0.73213,0.050909,4.75e-18,6188.4,1.83e-10,1.61e-31,28.924
5.14e-05,0.87133,0.042688,1.23e-17,8357.9,1.11e-09,2.62e-31,45.448
5.49e-05,0.66631,0.038838,1.88e-18,79755,1.33e-08,4.82e-30,59.695
4.1e-05,0.66511,0.053605,3.24e-18,40453,1.83e-08,2.5e-30,43.626
3.07e-05,0.50397,0.020926,5.82e-18,11098,2.58e-10,1.09e-30,44.745
3.73e-05,0.78798,0.033731,6.03e-18,1.2385e+05,1.14e-09,3.65e-31,40.309
3.75e-05,0.5513,0.01609,1.93e-18,13869,2.87e-10,1.76e-30,51.413
4.99e-05,0.79306,0.060801,1.97e-18,8198,8.16e-11,3.31e-30,44.882
5.73e-05,0.77494,0.048349,1.11e-18,22476,4.28e-10,1.66e-31,51.418
5.05e-05,0.83917,0.032648,1.63e-18,8402.1,2.83e-08,1.38e-31,52.934
3.93e-05,0.77923,0.031566,5.16e-18,71624,2.35e-09,3.47e-30,43.343
2.6e-05,0.8707,0.032231,4.51e-19,4373.8,2.06e-08,5.48e-31,34.867
4.93e-05,0.81788,0.035207,3.48e-19,12329,4.07e-10,1.07e-31,47.293
4.3e-05,0.58172,0.042508,1.23e-18,2.1505e+05,3.09e-09,2.94e-31,48.774
4.01e-05,0.68824,0.052962,4.12e-18,91023,2.33e-08,1.1e-30,43.169
5.47e-05,0.60771,0.020989,4.13e-18,32545,5.61e-09,2.71e-31,66.727
4.16e-05,0.5021,0.038155,1.78e-17,43388,4.17e-08,3.61e-31,53.449
4.64e-05,0.74643,0.044356,9.59e-19,1.4196e+05,2.84e-10,8.24e-31,46.321
3.39e-05,0.75761,0.036536,2.19e-18,4427.4,1.15e-09,4.49e-31,37.927
4.96e-05,0.61029,0.047265,1.08e-17,6945.5,2.92e-08,6.87e-32,51.129
2.16e-05,0.81649,0.039088,1.62e-18,2.2517e+05,1.87e-08,8.13e-31,30.786
4.17e-05,0.89899,0.036342,8.24e-18,7918.1,8.89e-11,1.76e-30,38.395
4.59e-05,0.87185,0.022568,5.65e-18,90206,3.17e-08,4.53e-31,52.603
5e-05,0.73553,0.025291,1.34e-18,82868,3.33e-08,7.2e-31,59.458
4.11e-05,0.80523,0.058695,1.39e-18,1.1701e+05,1.01e-08,9.85e-32,39.319
5.54e-05,0.58864,0.055187,7e-18,1.8477e+05,4.59e-09,6.35e-31,51.965
2.92e-05,0.64366,0.046595,3.5e-18,14233,5.28e-08,1.97e-31,39.028
2.33e-05,0.51138,0.049234,3.86e-18,1.3826e+05,9.84e-11,5.57e-31,33.473
4.9e-05,0.87501,0.05381,1.62e-17,9335.9,1.07e-09,3.08e-30,41.476
2.56e-05,0.53324,0.024484,3.18e-18,90435,1.53e-10,4.86e-31,37.255
5.31e-05,0.61903,0.021637,1.42e-18,79931,1.73e-08,1.35e-31,66.924
3.05e-05,0.60725,0.059858,1.45e-17,5305.6,7.27e-09,6.22e-31,36.567
3.11e-05,0.66843,0.034943,8.73e-18,30749,2.25e-08,5.25e-32,41.841
4.85e-05,0.90555,0.021371,2.96e-18,34865,3.91e-08,7.43e-32,54.877
5.95e-05,0.71492,0.026264,4.72e-19,4231.2,4.44e-08,4.44e-31,68.313
5.22e-05,0.66103,0.023627,3.39e-18,18590,5.12e-08,2.15e-31,65.402
3.52e-05,0.63097,0.064704,1.58e-18,2.8693e+05,1.55e-08,7.06e-32,38.443
4.49e-05,0.72054,0.045284,1.58e-17,1.5526e+05,2.42e-08,4.81e-30,47.38
3.79e-05,0.88344,0.030499,1.17e-18,1.0589e+05,5.51e-08,5.18e-32,45.373
5.5e-05,0.76395,0.027107,5.48e-19,12220,4.37e-10,3.17e-31,56.468
2.52e-05,0.87953,0.026705,3.96e-18,3506.8,7.11e-10,5.93e-31,29.557
5.7e-05,0.64236,0.018135,1.53e-18,47584,4.15e-08,4.95e-31,73.411
4.32e-05,0.58219,0.033668,3.05e-18,18983,4.39e-08,1.93e-31,53.937
2.96e-05,0.79141,0.038631,7.03e-18,6355.9,2.09e-09,5.28e-31,34.419
4.54e-05,0.61461,0.017946,3.91e-18,8774.4,1.88e-08,1.81e-30,59.98
3.8e-05,0.86101,0.028874,2.59e-18,10654,1.23e-10,1.52e-30,37.596
4.18e-05,0.67026,0.015896,1.3e-18,4142.8,5.52e-10,1.43e-31,50.159
3.68e-05,0.58015,0.064565,2.93e-19,2.3582e+05,6.17e-09,1.14e-31,40.259
3.18e-05,0.50007,0.064101,9.35e-18,1.1236e+05,8.99e-11,9.68e-31,40.294
2.24e-05,0.62188,0.055441,1.27e-17,1.0514e+05,3.58e-08,2.22e-31,32.003
3.66e-05,0.67287,0.052894,2.18e-19,8939.6,7.23e-09,1.56e-31,40.898
5.81e-05,0.769,0.020415,5.5e-18,33340,2.1e-08,2.85e-30,67.57
3.45e-05,0.70511,0.02864,1.95e-17,47205,2.35e-10,7.79e-32,39.775
5.53e-05,0.90014,0.037567,7.7e-18,79519,4.66e-10,4.49e-31,48.845
5.86e-05,0.63021,0.055072,1.47e-17,17011,5.57e-08,1.05e-31,53.846
3.29e-05,0.83166,0.037134,2.09e-19,4591.7,4.2e-08,1.95e-31,40.695
2.84e-05,0.73858,0.041326,6.07e-18,1.8609e+05,4.84e-09,3.46e-31,35.287
5.63e-05,0.53716,0.041288,2.11e-19,1.297e+05,2.91e-08,1.82e-31,64.148
5.6e-05,0.54048,0.047435,1.53e-18,89191,8.21e-09,2.4e-31,57.276
