dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,FD,fuel_swelling,fuel_gas_swelling
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,7.0081e+21,39.036,11.004
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,8.0015e+21,50.838,18.832
4.42e-05,0.88406,0.04512,1.65e-18,11840.0,8.02e-10,7.22e-32,1.007e+21,4.028,1.8517e-06
4.42e-05,0.88406,0.04512,1.65e-18,11840.0,8.02e-10,7.22e-32,2.0004e+21,8.0015,1.8517e-06
4.42e-05,0.88406,0.04512,1.65e-18,11840.0,8.02e-10,7.22e-32,3.0074e+21,12.059,0.029094
4.42e-05,0.88406,0.04512,1.65e-18,11840.0,8.02e-10,7.22e-32,4.0008e+21,16.758,0.75485
4.42e-05,0.88406,0.04512,1.65e-18,11840.0,8.02e-10,7.22e-32,5.0077e+21,23.179,3.1477
4.42e-05,0.88406,0.04512,1.65e-18,11840.0,8.02e-10,7.22e-32,6.0011e+21,31.016,7.011
4.42e-05,0.88406,0.04512,1.65e-18,11840.0,8.02e-10,7.22e-32,7.0081e+21,40.191,12.159
4.42e-05,0.88406,0.04512,1.65e-18,11840.0,8.02e-10,7.22e-32,8.0015e+21,48.961,16.955
3.34e-05,0.68003,0.040369,3.08e-18,3960.1,5.07e-09,1.71e-31,1.007e+21,4.028,0.0
3.34e-05,0.68003,0.040369,3.08e-18,3960.1,5.07e-09,1.71e-31,2.0004e+21,8.0015,0.0
3.34e-05,0.68003,0.040369,3.08e-18,3960.1,5.07e-09,1.71e-31,3.0074e+21,12.086,0.057
3.34e-05,0.68003,0.040369,3.08e-18,3960.1,5.07e-09,1.71e-31,4.0008e+21,16.955,0.95206
3.34e-05,0.68003,0.040369,3.08e-18,3960.1,5.07e-09,1.71e-31,5.0077e+21,23.532,3.5005
3.34e-05,0.68003,0.040369,3.08e-18,3960.1,5.07e-09,1.71e-31,6.0011e+21,31.416,7.4118
3.34e-05,0.68003,0.040369,3.08e-18,3960.1,5.07e-09,1.71e-31,7.0081e+21,40.541,12.509
3.34e-05,0.68003,0.040369,3.08e-18,3960.1,5.07e-09,1.71e-31,8.0015e+21,49.21,17.204
5.32e-05,0.82077,0.0334,3.04e-18,20990.0,1.02e-10,1.84e-31,1.007e+21,4.0445,0.016561
5.32e-05,0.82077,0.0334,3.04e-18,20990.0,1.02e-10,1.84e-31,2.0004e+21,8.0306,0.029056
5.32e-05,0.82077,0.0334,3.04e-18,20990.0,1.02e-10,1.84e-31,3.0074e+21,12.251,0.22155
5.32e-05,0.82077,0.0334,3.04e-18,20990.0,1.02e-10,1.84e-31,4.0008e+21,18.109,2.1059
5.32e-05,0.82077,0.0334,3.04e-18,20990.0,1.02e-10,1.84e-31,5.0077e+21,26.749,6.7183
5.32e-05,0.82077,0.0334,3.04e-18,20990.0,1.02e-10,1.84e-31,6.0011e+21,37.676,13.671
5.32e-05,0.82077,0.0334,3.04e-18,20990.0,1.02e-10,1.84e-31,7.0081e+21,50.912,22.879
5.32e-05,0.82077,0.0334,3.04e-18,20990.0,1.02e-10,1.84e-31,8.0015e+21,63.853,31.847
