dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,fuel_swelling
4.82e-05,0.86274,0.020737,3.78e-18,71829,6.18e-11,1.45e-30,101.11
2.05e-05,0.78844,0.05894,1.97e-17,68773,3.1e-08,4.18e-30,35.361
2.68e-05,0.81589,0.046856,5.06e-18,6360,4.41e-10,8.87e-32,43.333
5.1e-05,0.71059,0.054428,9.4e-19,56709,8.75e-09,2.68e-31,107.05
3.51e-05,0.71799,0.032312,3.42e-18,1.6765e+05,2.12e-09,6.97e-31,80.365
2.36e-05,0.69895,0.038568,2.08e-18,21318,1.84e-10,1.13e-31,43.46
2.82e-05,0.59764,0.033272,6.96e-18,4295.1,1.78e-08,8.95e-31,70.717
4.33e-05,0.705,0.062022,8.94e-18,12505,1.79e-10,3.87e-31,84.997
3.3e-05,0.55441,0.046738,1.36e-17,3739.1,3.47e-10,5.76e-32,78.233
3.41e-05,0.77071,0.054517,4.58e-18,7004.5,1.34e-10,6.5e-32,60.136
2.34e-05,0.73213,0.050909,4.75e-18,6188.4,1.83e-10,1.61e-31,38.78
5.14e-05,0.87133,0.042688,1.23e-17,8357.9,1.11e-09,2.62e-31,96.704
4.1e-05,0.66511,0.053605,3.24e-18,40453,1.83e-08,2.5e-30,85.3
3.73e-05,0.78798,0.033731,6.03e-18,1.2385e+05,1.14e-09,3.65e-31,77.236
5.73e-05,0.77494,0.048349,1.11e-18,22476,4.28e-10,1.66e-31,122.86
5.05e-05,0.83917,0.032648,1.63e-18,8402.1,2.83e-08,1.38e-31,107.83
3.93e-05,0.77923,0.031566,5.16e-18,71624,2.35e-09,3.47e-30,88.01
4.3e-05,0.58172,0.042508,1.23e-18,2.1505e+05,3.09e-09,2.94e-31,117.19
4.01e-05,0.68824,0.052962,4.12e-18,91023,2.33e-08,1.1e-30,79.441
5.47e-05,0.60771,0.020989,4.13e-18,32545,5.61e-09,2.71e-31,155.33
4.16e-05,0.5021,0.038155,1.78e-17,43388,4.17e-08,3.61e-31,111.33
3.39e-05,0.75761,0.036536,2.19e-18,4427.4,1.15e-09,4.49e-31,69.631
4.96e-05,0.61029,0.047265,1.08e-17,6945.5,2.92e-08,6.87e-32,104.91
2.16e-05,0.81649,0.039088,1.62e-18,2.2517e+05,1.87e-08,8.13e-31,40.156
4.17e-05,0.89899,0.036342,8.24e-18,7918.1,8.89e-11,1.76e-30,74.866
4.59e-05,0.87185,0.022568,5.65e-18,90206,3.17e-08,4.53e-31,104.99
5e-05,0.73553,0.025291,1.34e-18,82868,3.33e-08,7.2e-31,131.02
4.11e-05,0.80523,0.058695,1.39e-18,1.1701e+05,1.01e-08,9.85e-32,71.263
5.54e-05,0.58864,0.055187,7e-18,1.8477e+05,4.59e-09,6.35e-31,115.02
2.92e-05,0.64366,0.046595,3.5e-18,14233,5.28e-08,1.97e-31,63.163
4.9e-05,0.87501,0.05381,1.62e-17,9335.9,1.07e-09,3.08e-30,85.44
5.31e-05,0.61903,0.021637,1.42e-18,79931,1.73e-08,1.35e-31,151.98
