dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,fuel_swelling
3.45e-05,0.70511,0.02864,1.95e-17,47205,2.35e-10,7.79e-32,50.524
5.53e-05,0.90014,0.037567,7.7e-18,79519,4.66e-10,4.49e-31,61.621
5.86e-05,0.63021,0.055072,1.47e-17,17011,5.57e-08,1.05e-31,61.59
3.29e-05,0.83166,0.037134,2.09e-19,4591.7,4.2e-08,1.95e-31,48.833
2.84e-05,0.73858,0.041326,6.07e-18,1.8609e+05,4.84e-09,3.46e-31,41.667
4.76e-05,0.7258,0.029601,1.38e-18,1.8601e+05,9.16e-09,4.25e-30,70.241
5.63e-05,0.53716,0.041288,2.11e-19,1.297e+05,2.91e-08,1.82e-31,75.97
5.6e-05,0.54048,0.047435,1.53e-18,89191,8.21e-09,2.4e-31,67.266
2.38e-05,0.82377,0.038845,7.15e-18,2.0396e+05,9.63e-09,2.72e-30,35.521
3.99e-05,0.56206,0.035119,4.36e-18,19917,2.71e-08,3.8e-31,61.429
4.53e-05,0.7943,0.059177,3.68e-19,11617,5.2e-08,1.91e-31,50.418
2.59e-05,0.6779,0.019693,1.57e-17,61183,1.58e-09,3.57e-31,42.908
4.1e-05,0.62019,0.016432,9.6e-18,77398,1.03e-09,2.87e-30,65.873
4.04e-05,0.54524,0.040696,5.32e-18,10487,9.61e-10,1.23e-31,60.273
5.96e-05,0.72285,0.035724,3.72e-18,2.1129e+05,1.94e-08,2.02e-30,70.397
3.35e-05,0.90444,0.045152,5.6e-19,5575.5,2.09e-10,5.45e-32,39.62
3.02e-05,0.71529,0.020127,1.18e-18,19688,1.83e-09,1.06e-31,47.298
2.61e-05,0.70027,0.060508,5.43e-18,4636.1,2.28e-09,5.31e-32,36.712
4.5e-05,0.68452,0.034394,1.07e-17,3690.9,2.31e-09,4.78e-31,60.865
5.8e-05,0.86579,0.052195,1.56e-18,5209.6,1.25e-09,6.83e-31,59.383
4.21e-05,0.78188,0.052323,2.35e-18,12080,5.21e-09,1.72e-30,50.403
2.79e-05,0.71009,0.054858,1.25e-18,51284,8.79e-09,6.66e-31,40.202
3.88e-05,0.6852,0.029479,1.2e-17,6619.7,1.75e-10,1.12e-30,56.981
3e-05,0.80796,0.030358,9.3e-18,61701,4.72e-09,2.88e-31,43.249
