ID,dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,fuel_swelling,fuel_gas_swelling
121,7.37E-05,0.5553076594,0.07740003748,4.95E-09,25215.74287,9.76E-08,2.22E-09,1.45E-18,6.37E-07,9.989972806,0.7693647689
122,7.48E-05,0.7089139566,0.01866474247,4.15E-09,35635.27462,3.35E-07,2.94E-09,3.15E-18,3.87E-07,9.581716508,0.3611084707
123,7.60E-05,0.6159194619,0.05283187144,4.49E-09,48298.23731,1.95E-08,1.77E-09,3.36E-18,9.72E-07,9.449153724,0.2285456868
124,4.36E-05,0.6456757836,0.03310515927,3.10E-09,7151.14733,1.97E-08,1.20E-09,2.06E-18,4.87E-07,10.30014663,1.079538594
125,2.52E-05,0.6140461133,0.07803858791,1.94E-09,16798.03619,3.29E-07,5.50E-10,1.35E-18,7.17E-07,14.30768538,5.087077343
126,6.51E-05,0.6811804172,0.07420129829,4.78E-09,7022.068168,1.33E-07,9.86E-10,3.08E-18,2.99E-07,9.285525269,0.06491723215
127,5.27E-05,0.6774839855,0.02601211799,3.83E-09,12826.76072,2.22E-07,3.97E-10,2.91E-18,8.92E-07,9.740517095,0.5199090581
128,4.62E-05,0.7394790252,0.04223693451,4.72E-09,8741.287318,3.16E-07,8.45E-10,2.32E-18,2.67E-07,9.293393192,0.07278515565
129,3.81E-05,0.6996553486,0.06124985134,4.69E-09,32767.75752,7.03E-08,1.15E-09,2.68E-18,9.39E-07,9.504536526,0.2839284888
130,7.36E-05,0.5891360907,0.04022969016,3.82E-09,35900.66394,9.57E-08,2.44E-09,1.36E-18,7.77E-07,11.60566384,2.385055806
131,3.73E-05,0.8775102775,0.07517591787,4.26E-09,36210.1175,6.85E-08,2.84E-09,1.64E-18,6.66E-07,10.31551193,1.094903891
132,4.63E-05,0.7594750337,0.0797910107,3.03E-09,35415.97037,3.07E-08,2.40E-09,3.59E-18,4.80E-07,9.450155398,0.2295473607
133,7.89E-05,0.6845909315,0.0416176179,2.14E-09,32457.65821,2.35E-07,5.79E-10,2.79E-18,5.22E-07,12.27836886,3.057760824
134,4.00E-05,0.8435814793,0.06171849497,2.39E-09,28044.31437,3.81E-07,2.56E-09,2.39E-18,3.46E-07,10.44446034,1.223852305
135,8.96E-05,0.6973347876,0.01684569633,4.35E-09,28978.95455,1.85E-07,2.05E-09,1.36E-18,7.69E-07,10.82572871,1.605120673
136,9.97E-05,0.510767992,0.07232757457,3.58E-09,29919.02931,2.94E-07,1.31E-09,2.91E-18,9.02E-07,9.67549606,0.4548880227
137,7.69E-05,0.8341874589,0.01747399626,4.92E-09,27509.90042,1.76E-07,1.88E-09,1.69E-18,7.10E-07,9.890474247,0.66986621
138,3.32E-05,0.5829464022,0.07581717268,4.06E-09,28275.91856,2.31E-07,2.96E-09,3.90E-18,5.09E-07,9.220622132,1.41E-05
139,7.12E-05,0.7638250687,0.01854077073,1.63E-09,27730.69153,3.94E-07,1.53E-09,2.87E-18,9.48E-07,12.05729885,2.836690809
140,5.72E-05,0.67088356,0.07393195125,6.53E-10,23823.31466,3.90E-07,6.89E-10,1.43E-18,8.18E-07,17.90913154,8.688523503
141,2.42E-05,0.7868048785,0.03255260281,2.67E-09,6943.644078,3.39E-09,1.18E-09,1.73E-18,8.72E-07,12.38332733,3.162719296
142,6.34E-05,0.8234153205,0.03178632274,2.56E-09,35096.47566,1.62E-07,2.69E-09,3.12E-18,5.04E-07,9.951229746,0.7306217088
143,6.54E-05,0.8517469654,0.07622214466,3.57E-09,46653.34053,3.92E-07,8.11E-10,2.15E-18,9.68E-07,10.62790305,1.407295017
