,Grain-size-ratio index,Grain Size (um),Operation Days,Heat Flux (W/cm2),Fission Rate (10^14 f/cm3/s),Coolant init Temp (C),Fuel Temp (C),Fission Density (10^21 f/cm3),Fuel Swelling (%),Fuel Gas Swelling (%)
9735,1,1.34,99,240.0,6,88,150.0225016865567,5.132160020507103,54.62477754503272,34.09613746300431
9736,1,1.34,100,240.0,6,88,150.0383840698141,5.184000020714245,54.8358956226992,34.09989553984223
9737,1,1.34,101,240.0,6,88,150.0207952592821,5.235840020921387,55.05762813631209,34.11426805262654
9738,1,1.34,102,240.0,6,88,150.0414682046612,5.287680021128528,55.31410402972183,34.16338394520771
9739,1,1.34,103,240.0,6,88,150.0648094286556,5.33952002133567,55.52609826645962,34.16801818111693
9740,1,1.34,104,240.0,6,88,150.0541366286363,5.391360021542813,55.73820822647031,34.17276814029906
9741,1,1.34,105,240.0,6,88,150.0465704935688,5.443200021749955,55.95041251027724,34.17761242327742
9742,1,1.34,106,240.0,6,88,150.0412513626625,5.495040021957096,56.16128180846211,34.18112172063373
9743,1,1.34,107,240.0,6,88,150.0375314879206,5.546880022164238,56.37330985101635,34.18578976235938
9744,1,1.34,108,240.0,6,88,150.0356996688107,5.5987200223713804,56.58464150881288,34.18976141932736
9745,1,1.34,109,240.0,6,88,150.0350467970118,5.650560022578523,56.79620086217436,34.19396077186027
9746,1,1.34,110,240.0,6,88,150.0355546685718,5.702400022785665,57.00846770018174,34.1988676090391
9747,1,1.34,111,240.0,6,88,150.0372650747846,5.754240022992806,57.22042830092876,34.20346820895754
9748,1,1.34,112,240.0,6,88,150.0397729771372,5.806080023199948,57.43308290882897,34.20876281602918
9749,1,1.34,113,240.0,6,88,150.0431576677353,5.8579200234070905,57.64474080306751,34.21306070943914
9750,1,1.34,114,240.0,6,88,150.0470515575028,5.909760023614233,57.85661356852074,34.21757347406383
9751,1,1.34,115,240.0,6,88,150.0515600163011,5.961600023821375,58.06890049964084,34.22250040435534
9752,1,1.34,116,240.0,6,88,150.0567245968999,6.013440024028516,58.28046051470407,34.22670041859
9753,1,1.34,117,240.0,6,88,150.0621800071478,6.065280024235658,58.49101647814506,34.22989638120242
