%eval_id interface FaceCovMax     rResolBulk     vResol         DatomFissGBx   fNucleate      aAtomDifFiss   StickProb      rResolGBB      fuel_swelling  fuel_gas_swelling 
53       NO_ID      0.7482748316   2.697455835e-09 1.010475634e-18 28870.68408    1.377980377e-09 8.192075421e-31 1.078964237e-07 1.195337052e-06 364.3272447    332.2555646    
54       NO_ID      0.6846392822   2.736424565e-09 4.292990579e-18 23892.07964    6.107437006e-10 1.042125105e-31 7.445981561e-07 1.413759976e-06 115.9612462    83.88956611    
55       NO_ID      0.6861470853   3.759551444e-09 2.577415382e-18 54901.43858    8.108942979e-10 1.17420924e-30 1.701806269e-07 2.365340217e-07 116.1363004    84.06462029    
56       NO_ID      0.7089583369   3.081583258e-09 9.318746312e-19 46899.21043    6.332785677e-10 7.927809672e-31 7.996681756e-07 3.107427691e-07 117.9254045    85.85372439    
57       NO_ID      0.7627520805   2.258692246e-09 3.743946336e-19 31414.23632    6.737573694e-10 1.164391991e-30 1.170550173e-07 2.875479597e-07 828.1918827    796.1202026    
58       NO_ID      0.7953272269   3.048348254e-09 5.552382111e-19 13743.19459    4.414444994e-10 7.256708103e-31 2.04438947e-07 1.55710983e-06 399.2670664    367.1953863    
59       NO_ID      0.7011224625   3.388792955e-09 3.494134284e-18 20224.8512     1.083063231e-09 5.954753574e-31 1.109908431e-06 3.273941798e-06 113.7534421    81.68176201    
60       NO_ID      0.7100807751   2.483349353e-09 4.645136356e-18 19767.52487    1.005815874e-09 5.891794174e-32 5.309364695e-07 8.595483488e-07 112.5645547    80.49287461    
61       NO_ID      0.5969123726   2.470798203e-09 2.516224135e-18 32900.13224    2.431119392e-10 8.510089185e-31 8.243796619e-08 5.715722874e-07 47742.53242    47710.46074    
62       NO_ID      0.6797169712   3.613863632e-09 3.749783285e-18 25781.95618    1.158960421e-09 7.084448791e-31 7.360404142e-08 9.574787762e-07 115.8484931    83.77681296    
63       NO_ID      0.5240343637   4.198658401e-09 2.197390848e-18 77477.063      3.989485371e-10 1.460543367e-30 2.282980309e-07 5.212870978e-07 136.4688631    104.397183     
64       NO_ID      0.7217969976   2.458196505e-09 7.36473253e-18 11237.88907    2.667130715e-10 4.602998313e-31 6.361295583e-07 1.192850903e-07 112.9026643    80.83098419    
65       NO_ID      0.6392790656   2.160395868e-09 1.981459017e-18 40562.59136    3.407461008e-10 1.939419542e-30 5.366442506e-07 5.110215125e-07 3742.68331     3710.61163     
66       NO_ID      0.6272189742   3.602787011e-09 9.650203658e-19 55166.85808    1.167444442e-09 5.347113987e-31 9.360886869e-08 7.81886663e-07 129.6752293    97.60354918    
67       NO_ID      0.58566621     3.687509115e-09 1.732142252e-18 39968.56246    2.87817496e-10 5.969933945e-31 2.966855252e-07 3.087236953e-07 128.3862913    96.31461121    
68       NO_ID      0.6580874505   2.828375706e-09 1.851878678e-18 28663.0422     9.274345712e-10 3.133692155e-31 2.885291588e-07 2.500104678e-07 118.9771327    86.90545255    
69       NO_ID      0.744315802    1.838973729e-09 3.242480877e-18 13383.69906    3.804730566e-10 2.43031658e-30 2.038497964e-07 1.513605001e-06 1840.946919    1808.875239    
70       NO_ID      0.6908353418   3.218538251e-09 3.458503676e-18 22055.11915    2.61209404e-09 2.605510131e-31 4.619072861e-07 6.298877802e-07 114.0008114    81.92913126    
71       NO_ID      0.6495629565   2.966994243e-09 3.099686704e-18 17829.83747    1.533513339e-09 8.442360505e-31 2.194285298e-07 4.033584738e-07 118.7474586    86.67577847    
72       NO_ID      0.6603531819   3.203721992e-09 1.002301592e-18 133542.8258    2.772651988e-10 3.636673447e-31 1.816144463e-07 1.246849676e-06 163.9699548    131.8982747    
73       NO_ID      0.7895900797   3.812056498e-09 1.123828811e-18 15217.83396    1.652883107e-09 2.847981136e-31 2.182905809e-07 4.55313379e-07 105.5349659    73.46328577    
74       NO_ID      0.6484628102   3.223812162e-09 1.996401857e-18 180968.0504    1.499785003e-09 5.158332643e-31 8.55870456e-08 2.552183365e-07 121.8239792    89.75229904    
75       NO_ID      0.6904807442   2.566626854e-09 5.729555324e-18 13589.62502    3.873499759e-10 1.954948869e-31 9.816836059e-08 4.1061367e-07  115.891426     83.81974583    
76       NO_ID      0.6471008647   2.397375429e-09 1.202306055e-17 50523.69666    3.427736653e-10 6.198743029e-31 2.453996659e-07 1.088513965e-06 121.0018301    88.93015002    
77       NO_ID      0.6565598402   4.06119336e-09 1.545233077e-18 152420.4864    4.484061897e-09 2.209390639e-31 9.052615518e-08 6.403859398e-07 118.4213235    86.34964339    
78       NO_ID      0.8030538672   1.958352507e-09 2.309008242e-18 145716.1956    2.269956877e-10 6.575456265e-31 2.901271029e-07 8.367923274e-07 106.2644115    74.19273139    
79       NO_ID      0.7735449996   3.369471277e-09 1.396103554e-18 95143.40923    1.446727488e-10 7.292966897e-32 3.693117434e-07 2.73882588e-07 107.7580227    75.68634258    
80       NO_ID      0.8146994694   2.153282846e-09 5.074909921e-19 37771.02618    2.72500292e-10 1.805208867e-30 1.731438884e-07 4.678153571e-07 872.2787723    840.2070922    
81       NO_ID      0.6408062017   3.567322836e-09 7.632319012e-18 23551.4821     9.758570626e-10 8.457917403e-31 1.936281673e-07 5.244699295e-07 119.9932197    87.9215396     
82       NO_ID      0.8094032531   2.994607279e-09 6.096743779e-19 41824.59054    7.17014913e-10 2.788576941e-31 7.761527556e-07 2.38671995e-07 106.8685239    74.79684376    
83       NO_ID      0.6758423162   2.922037207e-09 1.508709072e-18 10825.37117    1.105299974e-09 7.374832202e-31 1.190695659e-07 1.965577994e-06 118.589598     86.51791784    
84       NO_ID      0.885102277    2.282435707e-09 9.493157319e-19 6441.154744    1.250012722e-09 1.500006907e-31 4.549025547e-07 4.86124173e-07 97.05694535    64.98526522    
85       NO_ID      0.6664135826   3.42505034e-09 9.463325953e-19 64001.99307    5.843618415e-10 1.046720107e-30 9.586366522e-08 3.766151961e-07 1253.52556     1221.45388     
86       NO_ID      0.6386201774   3.89340317e-09 2.498775723e-18 12364.36812    8.437921318e-10 1.29974676e-31 4.783284773e-07 7.19561342e-07 120.2682557    88.19657559    
87       NO_ID      0.7680270018   3.790077695e-09 2.108265998e-18 72827.53338    2.592124226e-10 3.239002737e-31 2.510349993e-07 1.719649956e-06 108.241119     76.16943889    
88       NO_ID      0.6165694384   2.207607356e-09 4.435487162e-19 14312.26885    2.061086526e-10 7.613201135e-31 1.843012747e-07 6.254951599e-07 53978.17243    53946.10075    
