dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,Fuel_Swelling,Porosity,Bubble_Size
4.43E-05,0.586628715,0.025023594,2.41E-09,20010.99904,3.15E-07,2.92E-09,1.28E-18,4.03E-07,52.57187123,19.97920108,0.509554984
5.41E-05,0.722524735,0.014716444,2.03E-09,13844.3018,1.41E-07,3.21E-10,2.70E-18,6.66E-07,57.00032557,22.2029492,0.439414388
3.07E-05,0.777632504,0.058160488,2.25E-09,7508.890818,2.16E-07,9.03E-10,2.36E-18,6.74E-07,26.33787287,3.676549459,0.096643516
9.38E-05,0.810749546,0.055912344,1.28E-09,15948.22516,2.03E-07,5.23E-10,2.21E-18,8.77E-07,69.06668998,26.84602313,0.736702231
3.64E-05,0.631042201,0.058362932,3.42E-09,18172.87354,3.31E-07,1.25E-09,2.21E-18,2.78E-07,33.88213663,9.287517367,0.174712005
4.51E-05,0.711922431,0.051145885,4.18E-09,13984.52318,2.66E-07,5.01E-10,2.04E-18,9.55E-07,39.49757393,12.8728616,0.243547598
6.43E-05,0.512008074,0.074772232,4.77E-09,20630.82832,2.32E-07,2.70E-09,2.88E-18,7.27E-07,42.57488766,14.73626559,0.353793841
3.52E-05,0.552364064,0.026114086,4.81E-09,47413.7587,1.44E-07,1.26E-09,3.88E-18,4.26E-07,41.96640799,14.39422145,0.263168266
5.47E-05,0.867667859,0.079229247,4.01E-09,37145.22114,1.57E-07,2.30E-09,2.53E-18,6.86E-07,33.07386778,8.726596151,0.24147461
8.44E-05,0.728906723,0.046400377,1.02E-09,9166.720832,1.23E-08,1.33E-09,3.55E-18,8.63E-07,73.19251882,28.61923511,1.394888116
5.48E-05,0.8503922,0.073387194,3.21E-09,11089.35398,4.45E-08,1.99E-09,3.97E-18,2.86E-07,34.66277287,9.806565427,0.254642039
9.40E-05,0.559688122,0.041918972,4.26E-09,16451.98701,3.01E-07,2.16E-09,3.97E-18,8.22E-07,67.31483818,26.85628678,0.680306451
5.56E-05,0.871752742,0.063028578,4.30E-09,49049.84618,3.34E-08,1.71E-09,2.51E-18,4.96E-07,37.90625205,11.8449427,0.280926151
6.43E-05,0.862783933,0.019505247,1.38E-09,9219.01363,6.79E-08,1.61E-09,3.06E-18,5.70E-07,58.39908882,22.82546677,0.470205215
9.43E-05,0.831638522,0.041021992,3.36E-09,7933.417271,3.60E-07,2.49E-09,2.92E-18,9.05E-07,61.38712,24.32367655,0.640568166
5.04E-05,0.681414479,0.068201445,1.01E-09,26618.17873,3.82E-08,2.73E-09,2.64E-18,7.87E-07,54.26856512,20.69136275,0.756287993
8.69E-05,0.644091057,0.064167976,2.61E-09,24733.87338,1.06E-07,2.86E-09,2.47E-18,6.11E-07,53.12468854,20.14084966,0.542544852
8.51E-05,0.51383753,0.01659961,2.80E-09,10737.35477,3.99E-07,1.61E-09,3.17E-18,9.19E-07,80.52386227,31.84229854,0.724443321
7.36E-05,0.605352862,0.061748283,2.72E-09,8756.817433,9.41E-08,2.46E-09,3.30E-18,2.90E-07,49.49733409,18.52685806,0.448015207
8.25E-05,0.651921084,0.041439567,1.84E-09,17897.26673,3.06E-08,2.30E-09,2.75E-18,4.37E-07,68.24202773,26.7838679,0.88529258
1.89E-05,0.886809659,0.029127747,3.83E-09,23749.89981,1.97E-07,1.65E-09,3.03E-18,6.37E-07,21.47594857,0.043334181,0.038834258
9.54E-05,0.765053856,0.023546476,1.60E-09,40396.37306,4.29E-08,1.78E-09,1.06E-18,4.46E-07,95.873775,36.10254555,1.825175878
5.12E-05,0.900571315,0.064791775,1.79E-09,21393.30376,1.30E-07,1.57E-09,3.73E-18,5.87E-07,35.29544856,10.13223208,0.240052441
9.77E-05,0.724490726,0.029220356,4.75E-09,46024.42183,3.96E-07,2.11E-09,3.70E-18,4.84E-07,73.19336484,29.14654934,0.737741085
5.74E-05,0.811694179,0.02448697,3.55E-09,18972.17259,3.73E-07,2.64E-09,3.81E-18,7.41E-07,51.14378882,19.4634611,0.385185062
2.17E-05,0.526321009,0.070112185,3.65E-09,41515.76479,1.81E-07,1.41E-09,1.43E-18,2.63E-07,28.27967627,5.072031788,0.090335652
1.82E-05,0.609627914,0.075882838,1.61E-09,22802.75024,3.99E-07,2.53E-09,3.40E-18,2.88E-07,22.68941243,0.328344813,0.019862282
