dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,C1,C2,C3,C4,C5,C6,Porosity,Fuel_Swelling
2.00E-05,0.712485526,0.010895492,2.58E-09,31352.87952,1.47E-07,1.29E-09,1.29E-18,5.35E-07,0.505709611,1.176438165,3.143717563,7.536409547,4.1624471,0.072804871,3.529445154,13.51083502
4.59E-05,0.524883395,0.012638586,4.38E-09,41416.03216,2.50E-07,2.77E-09,3.35E-18,3.84E-07,9.153002878,0.007902689,2.29E-05,3.52E-07,3.32E-28,0,0.242577159,9.486200059
1.00E-05,0.825239108,0.035445906,3.42E-09,9378.889289,3.17E-07,1.97E-09,3.65E-18,6.59E-07,0.408230412,7.22E-06,9.78E-12,1.12E-33,0,0,1.16E-05,9.220626922
8.44E-05,0.769628759,0.07563438,3.56E-09,23565.74639,3.46E-07,2.60E-09,2.26E-18,8.02E-07,14.11752293,10.73290414,0.191815496,3.73E-05,9.38E-17,0,0.089370801,9.52753272
7.97E-05,0.809400931,0.042142854,1.38E-09,29843.55757,5.98E-08,1.24E-09,1.78E-18,4.94E-07,0.514587134,1.044346735,2.326034646,5.184230924,5.856948941,1.359540952,5.777882705,16.49757922
5.22E-05,0.810016707,0.053495408,2.29E-09,11389.4874,2.99E-07,1.14E-09,1.68E-18,9.50E-07,1.15172128,3.297817723,11.67717732,6.748740197,0.111641237,8.05E-07,2.137104755,11.72135993
7.88E-05,0.768587281,0.029195046,2.54E-09,20084.59436,1.92E-07,1.89E-09,2.18E-18,3.42E-07,1.513038816,8.217039698,14.11832564,1.178599933,9.78E-05,1.86E-24,1.518933202,10.97209839
3.24E-05,0.839844775,0.073739486,6.79E-10,47524.4003,4.88E-08,2.62E-09,3.61E-18,4.18E-07,0.688161345,1.333770606,2.812349196,5.909946902,6.046974951,1.213923366,6.053623311,16.83927633
3.67E-05,0.572931175,0.044382618,4.04E-09,31748.00742,3.28E-07,2.41E-09,1.32E-18,3.55E-07,1.180213505,6.87210602,11.3810721,1.065329616,0.001258011,5.11E-12,1.067203304,10.52314499
2.18E-05,0.639442272,0.042331391,3.43E-09,26664.6976,2.96E-07,1.01E-09,3.98E-18,7.27E-07,13.94138548,4.748550464,0.0019739,4.19E-09,1.64E-30,0,0.000703054,9.334465571
1.12E-05,0.829212633,0.052405091,6.84E-10,14637.18647,3.80E-07,1.75E-09,3.46E-18,6.09E-07,1.041664499,2.399604648,6.038968566,10.03355966,3.812020143,0.045861375,4.175826436,14.35727811
9.79E-05,0.575461616,0.05412464,4.68E-09,40459.91401,1.34E-07,2.27E-09,3.10E-18,3.81E-07,16.31983715,0.813324183,5.56E-06,7.21E-14,1.32E-38,0,0.243458665,9.487169224
8.06E-05,0.904458887,0.066737629,2.29E-09,8228.645717,2.79E-07,4.09E-10,1.12E-18,6.80E-07,0.51865649,1.208750778,3.137226468,6.887921212,4.678913022,0.28255678,3.750941104,13.79852407
5.18E-05,0.849763863,0.044866759,2.04E-09,18151.87638,1.69E-07,2.53E-09,3.72E-18,8.85E-07,9.402110293,20.00204703,1.816737834,4.84E-05,2.76E-24,0,0.178494174,9.624400104
8.66E-05,0.727415508,0.050291368,4.19E-09,43199.7851,3.45E-08,2.94E-09,1.94E-18,6.98E-07,1.666780602,14.86299729,9.61986585,0.016229717,1.87E-09,3.92E-33,0.922976931,10.28560353
7.03E-05,0.577398958,0.010169099,1.81E-09,6653.904686,1.29E-07,2.77E-09,3.07E-18,5.40E-07,17.62344504,24.56353661,0.943032953,7.86E-06,6.86E-26,0,0.474651063,9.80966347
2.49E-05,0.717004781,0.050961414,1.48E-09,22257.54633,1.83E-07,1.90E-09,2.23E-18,5.18E-07,0.922350691,2.198157059,6.203196873,10.14151985,1.945016671,0.000641259,3.364530149,13.2867304
1.39E-05,0.569126668,0.034300521,2.03E-09,30176.90915,7.86E-08,1.97E-09,1.95E-18,8.14E-07,0.891673062,1.803023265,4.063930487,7.460305142,2.164059769,0.00882726,3.571643184,13.57024262
9.54E-05,0.709687588,0.063732089,4.18E-09,23131.65358,1.48E-07,8.06E-10,4.00E-18,7.19E-07,14.60376188,1.73030621,1.01E-06,5.61E-14,2.03E-38,0,0.179923409,9.417478667
2.30E-05,0.590915323,0.07336103,4.27E-09,38547.04929,6.65E-08,1.54E-09,2.37E-18,8.81E-07,2.218099034,14.37423309,5.123550443,0.001863568,1.45E-10,7.53E-35,0.377894224,9.891699628
7.00E-05,0.90101605,0.033508121,1.09E-09,42811.76318,2.47E-07,1.18E-09,2.23E-18,2.64E-07,0.355456602,0.782697404,1.853610644,4.417607977,5.847330328,1.774091534,5.175732423,15.71396104
9.08E-05,0.660168642,0.0144825,2.84E-09,15299.9128,8.61E-08,2.00E-09,1.05E-18,5.58E-07,1.235585552,2.84684987,7.612468032,8.999548455,1.342424455,0.000114145,3.769029295,13.78447339
1.50E-05,0.764459724,0.034104701,2.80E-09,40007.09662,2.53E-09,4.28E-10,3.76E-18,5.81E-07,0.349627399,0.91711195,5.725863527,8.84781026,0.002957392,6.64E-13,1.989561811,11.5167588
8.57E-05,0.845924912,0.037091618,1.33E-09,31125.88907,1.31E-07,2.72E-09,2.67E-18,4.42E-07,1.028501387,2.577926738,7.505787704,11.91050329,1.618838995,8.56E-05,3.578239545,13.516377
6.21E-05,0.716053745,0.050340893,3.50E-09,29377.96441,2.44E-07,8.00E-10,3.24E-18,7.21E-07,3.361739648,12.03624431,2.472854551,0.000889444,1.77E-10,2.58E-34,0.303633366,9.748279869
9.96E-05,0.903615343,0.067838972,1.93E-09,39416.6455,1.18E-07,2.98E-09,2.02E-18,8.18E-07,0.944480391,2.432946998,7.875220113,10.92456739,1.035870334,2.30E-05,3.087222325,12.90241647
8.13E-05,0.547335194,0.025039006,3.96E-09,34556.73174,3.36E-07,5.41E-10,2.54E-18,3.04E-07,0.463304135,5.279559771,7.801170518,0.319847774,6.21E-05,2.36E-09,1.018006752,10.37045643
5.90E-05,0.515739939,0.044486475,1.15E-09,44524.77861,1.97E-07,1.60E-09,3.79E-18,8.15E-07,0.625320905,1.216882678,2.372851356,4.823794062,3.180179837,0.149765736,3.971553876,14.06949339
8.95E-05,0.64920161,0.010426346,4.36E-09,41731.42414,8.45E-08,2.88E-09,2.63E-18,4.33E-07,16.62652742,8.517859804,0.00970643,6.52E-09,1.15E-30,0,0.465678314,9.74315094
1.15E-05,0.718769614,0.048328376,9.03E-10,16259.95761,9.11E-09,7.80E-10,3.68E-18,4.14E-07,0.774035739,1.440840941,2.686282852,5.339547257,5.322566276,0.689916032,5.645908845,16.22518314
1.30E-05,0.822570402,0.012387966,3.05E-09,12320.4978,3.63E-07,6.36E-10,3.67E-18,9.10E-07,13.01863876,8.047200874,0.039240964,8.06E-07,7.19E-27,0,0.004112782,9.432927643
7.42E-05,0.718746666,0.010626366,8.91E-10,40253.75306,1.85E-07,2.57E-09,1.68E-18,4.72E-07,0.639133007,1.179115185,2.237659011,4.299122842,4.493529338,1.440206264,6.645332467,17.76977617
5.23E-05,0.775585986,0.031612867,3.08E-09,17051.17581,8.85E-08,1.33E-09,3.20E-18,9.02E-07,9.461563201,17.17539819,0.58325072,1.69E-06,9.31E-27,0,0.140666377,9.537142228
